callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1 ,altitude_1,latitude_2,longitude_2,altitude_2
4545,nan,1506b6,RA-67254,DH8D,UHBB,UHWW,2022-02-22 01:34:00+00:00,2022-02-22 03:56:55+00:00,2022-02-22,50.46220682435116,127.3997621278505,609.6,43.40524291992188,132.1703178938045,-53.34
AFL1245,SU1245,155bc3,RA-89027,SU95,nan,UUEE,2022-02-22 01:50:01+00:00,2022-02-22 03:28:21+00:00,2022-02-22,52.98321533203125,52.49992370605469,9753.6,55.98362809520656,37.49719619750977,563.88
SDM6264,nan,155c2a,nan,nan,nan,UUEE,2022-02-22 01:51:06+00:00,2022-02-22 03:25:06+00:00,2022-02-22,54.66096496582031,52.92485854204963,11582.4,55.98353499073093,37.496337890625,563.88
RWZ1042,nan,155c39,nan,nan,UNEE,USSS,2022-02-22 01:55:37+00:00,2022-02-22 04:10:28+00:00,2022-02-22,55.27552200576006,86.12066095525567,0.0,56.76659018306409,61.11791795299899,990.6
AZO664,nan,155c30,nan,nan,nan,nan,2022-02-22 01:57:34+00:00,2022-02-22 05:03:29+00:00,2022-02-22,56.60295906713453,60.48664708291331,2743.2,50.85115077131886,47.31315612792969,10972.8
AZO254,nan,155bf7,RA-89079,SU95,USPP,nan,2022-02-22 01:58:09+00:00,2022-02-22 02:58:40+00:00,2022-02-22,57.90255789029396,55.99850463867188,304.8,56.48401809951006,45.37945747375488,6614.160000000001
AZO668,nan,155bfd,RA-89085,SU95,nan,nan,2022-02-22 02:03:40+00:00,2022-02-22 03:52:48+00:00,2022-02-22,58.50723266601562,64.55371487525201,10668.0,50.72234072927701,46.54525756835938,10972.8
AFL1223,SU1223,155bd1,RA-89041,SU95,nan,UUEE,2022-02-22 02:25:33+00:00,2022-02-22 02:57:38+00:00,2022-02-22,56.12696243544756,42.11574554443359,7924.8,55.98362731933594,37.49667080965909,563.88
4703,nan,1506b4,RA-67252,DH8D,nan,UHBB,2022-02-22 02:36:09+00:00,2022-02-22 03:20:20+00:00,2022-02-22,53.40866088867188,127.1598423549107,5486.400000000001,50.3105861857786,127.4638242979307,617.22
RWZ1505,nan,155c22,nan,nan,nan,nan,2022-02-22 02:47:23+00:00,2022-02-22 03:24:58+00:00,2022-02-22,56.2276611328125,55.90592817826704,10668.0,58.47887459447828,63.38278198242188,10668.0
LLM188,YC188,155c00,nan,nan,nan,nan,2022-02-22 02:47:43+00:00,2022-02-22 03:10:13+00:00,2022-02-22,56.18347685215836,58.13887596130371,10668.0,58.02149885791843,62.3082275390625,10668.0
VDA5900,nan,15409a,RA-82074,A124,nan,EGNX,2022-02-22 02:52:50+00:00,2022-02-22 08:27:32+00:00,2022-02-22,63.13206481933594,60.15350341796875,8534.4,52.8316691770392,-1.290108816964278,198.12
VDA5978,nan,15409e,RA-82078,A124,LROP,nan,2022-02-22 02:58:35+00:00,2022-02-22 04:05:49+00:00,2022-02-22,44.58023071289062,26.13130841936384,0.0,42.37568664550781,34.8722284490412,8823.960000000001
SDM6114,nan,155c14,nan,nan,nan,UUEE,2022-02-22 02:58:54+00:00,2022-02-22 05:05:15+00:00,2022-02-22,45.03488159179688,37.25987025669643,3048.0,55.99745410983845,37.44063377380371,594.36
RWZ384,nan,155c32,nan,nan,nan,UUDD,2022-02-22 03:02:00+00:00,2022-02-22 04:15:13+00:00,2022-02-22,51.73164367675781,46.09017037056588,914.4,55.45679641982256,37.82910346984863,617.22
GZP589,nan,151d28,RA-73000,B737,nan,nan,2022-02-22 03:02:01+00:00,2022-02-22 03:30:47+00:00,2022-02-22,55.29684448242188,58.62240062040441,10668.0,58.13341043763241,62.06698608398438,10683.24
RA67326,nan,1506fe,nan,nan,VIDP,UUBM,2022-02-22 03:16:03+00:00,2022-02-22 17:38:24+00:00,2022-02-22,28.56380139367055,77.09973503561581,0.0,55.58528059619968,38.01303863525391,441.96
SDM6228,nan,155c0b,nan,nan,nan,UUEE,2022-02-22 03:18:47+00:00,2022-02-22 05:37:24+00:00,2022-02-22,55.41883850097656,61.14885218003216,3352.8,55.99566650390625,37.57848566228693,845.82
SDM6248,nan,155c59,nan,nan,nan,UUEE,2022-02-22 03:25:00+00:00,2022-02-22 04:59:15+00:00,2022-02-22,55.49799515029131,51.73805236816406,3048.0,55.99479675292969,37.4212646484375,525.78
RWZ1453,nan,155c6b,nan,nan,USPP,nan,2022-02-22 03:26:43+00:00,2022-02-22 04:54:26+00:00,2022-02-22,57.91033211400953,56.01287841796875,304.8,51.01602172851562,45.64010207717483,10972.8
RA67137,nan,150641,nan,nan,nan,EDDL,2022-02-22 03:33:46+00:00,2022-02-22 07:43:28+00:00,2022-02-22,55.15052924721927,53.75568736683238,11887.2,51.28875732421875,6.771141258445946,-22.86
RWZ1271,nan,155c31,nan,nan,nan,nan,2022-02-22 04:00:06+00:00,2022-02-22 06:04:06+00:00,2022-02-22,55.41885634600106,61.15031849254261,3352.8,43.18263244628906,48.80657107331032,7307.58
