callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1 ,altitude_1,latitude_2,longitude_2,altitude_2
SDM6246,nan,155c0c,nan,nan,nan,UUEE,2022-02-01 02:48:36+00:00,2022-02-01 03:17:21+00:00,2022-02-01 00:00:00+00:00,55.84959411621094,42.16569380326704,9448.8,55.98358154296875,37.49659538269043,579.12
AFL1145,SU1145,155bc2,RA-89026,SU95,URKA,UUEE,2022-02-01 03:03:04+00:00,2022-02-01 04:59:25+00:00,2022-02-01 00:00:00+00:00,45.02357482910156,37.3740495954241,304.8,56.00624084472656,37.4981689453125,807.72
AZV9707,nan,151d45,nan,nan,UIII,UIII,2022-02-01 03:08:36+00:00,2022-02-01 03:55:17+00:00,2022-02-01 00:00:00+00:00,52.27088928222656,104.3806457519531,304.8,52.2695509053893,104.3856549944197,320.04
SDM6506,nan,155be6,RA-89062,SU95,nan,UUEE,2022-02-01 03:09:33+00:00,2022-02-01 05:03:19+00:00,2022-02-01 00:00:00+00:00,61.18574523925781,58.34907531738281,10972.8,56.00299072265625,37.47602982954545,731.52
4766,nan,1506b6,RA-67254,DH8D,nan,UHWW,2022-02-01 03:09:51+00:00,2022-02-01 03:24:06+00:00,2022-02-01 00:00:00+00:00,43.94453430175781,132.9730863349382,3962.4,43.40501403808594,132.169743027798,-22.86
SDM6228,nan,155c10,nan,nan,nan,UUEE,2022-02-01 03:13:43+00:00,2022-02-01 05:23:22+00:00,2022-02-01 00:00:00+00:00,55.41879272460938,61.16185805376838,3048.0,55.98719787597656,37.52064098011363,655.32
SDM6248,nan,155c51,nan,nan,nan,UUEE,2022-02-01 03:34:06+00:00,2022-02-01 04:53:36+00:00,2022-02-01 00:00:00+00:00,55.50078828456038,51.74603462219238,3352.8,56.00639213949947,37.49917030334473,807.72
SDM6468,nan,155c24,nan,nan,nan,UUEE,2022-02-01 03:35:40+00:00,2022-02-01 04:11:43+00:00,2022-02-01 00:00:00+00:00,53.17259216308594,37.73772321428572,10363.2,55.98567639367054,37.49316215515137,548.64
RWZ1453,nan,155c37,nan,nan,USPP,nan,2022-02-01 03:41:21+00:00,2022-02-01 05:08:57+00:00,2022-02-01 00:00:00+00:00,57.91154247219279,56.01544189453125,304.8,50.983154296875,46.97286244985219,10363.2
AZO254,nan,155bf7,RA-89079,SU95,nan,nan,2022-02-01 03:43:03+00:00,2022-02-01 04:16:57+00:00,2022-02-01 00:00:00+00:00,55.70650262347722,44.34502601623535,6705.6,52.02886962890625,44.48226928710938,10363.2
SDM6085,nan,155bd3,RA-89043,SU95,UUEE,nan,2022-02-01 03:45:41+00:00,2022-02-01 04:07:15+00:00,2022-02-01 00:00:00+00:00,55.96980285644531,37.38938765092329,609.6,54.67002868652344,38.50094065946691,10660.38
TUP952,nan,14fa18,RA-64024,T204,EDDP,UUEE,2022-02-01 04:00:42+00:00,2022-02-01 06:41:27+00:00,2022-02-01 00:00:00+00:00,51.4134521484375,12.24077379381334,0.0,55.99644470214844,37.5970458984375,914.4
GZP589,nan,151d2c,RA-73004,B737,nan,nan,2022-02-01 04:02:10+00:00,2022-02-01 04:29:54+00:00,2022-02-01 00:00:00+00:00,55.29898433362023,58.64368785511363,10363.2,58.10865783691406,62.05290763608871,10668.0
SDM6164,nan,155be4,RA-89060,SU95,nan,UUEE,2022-02-01 04:04:54+00:00,2022-02-01 05:37:47+00:00,2022-02-01 00:00:00+00:00,54.86637438757945,20.8216719193892,2743.2,55.98532104492188,37.50790682705966,601.98
LLM89,YC89,155c01,nan,nan,nan,UUDD,2022-02-01 04:05:21+00:00,2022-02-01 06:27:46+00:00,2022-02-01 00:00:00+00:00,64.16926574707031,62.79425987830529,10972.8,55.22403523073358,38.1745771928267,1333.5
